timestamp,error_code,thread_id,severity,service,message
2026-03-24 00:57:45,ISS.0134.0042E,894132,ERROR,PACS_ROUTER,JMS Trigger abb.simti.jms.synchronisationQueue:PacsOutRouter_Trigger_002 failed: com.wm.lang.flow.FlowException:
2026-03-24 00:57:50,BPM.0102.0002E,894133,ERROR,UNKNOWN,Exception: com.wm.app.prt.ProcessException
2026-03-24 00:57:50,BPM.0102.0376E,894133,ERROR,EMISSION,"c293f1b4-abdf-43b2-a05c-c19e3afdaf19:1, S251: exception invoking service ABB_VIREMENTS_INSTANTANE.ABB_VIREMENT_INSTANTANE_EMISSION.ABB_VIREMENT_INSTANTANE_EMISSION_1.Default:ControlCompte_S251: [PRT.0"
2026-03-24 00:57:50,BPM.0102.0002E,894133,ERROR,UNKNOWN,Exception: com.wm.app.prt.ProcessException
2026-03-24 00:57:50,BPM.0102.0376E,894133,ERROR,EMISSION,"c293f1b4-abdf-43b2-a05c-c19e3afdaf19:1, S319: exception invoking service ABB_VIREMENTS_INSTANTANE.ABB_VIREMENT_INSTANTANE_EMISSION.ABB_VIREMENT_INSTANTANE_EMISSION_1.Default:ErrorHandler: [PRT.0101.91"
2026-03-24 00:58:22,ISS.0134.0042E,895833,ERROR,RECEPTION,JMS Trigger ABB_VIREMENTS_INSTANTANE.ABB_VIREMENT_INSTANTANE_PROCESS_RECEPTION.Default:subscriptionTrigger failed: com.wm.app.b2b.server.ISRuntimeException: [98.9998] Exception --> 0 com.wm.app.prt.Pr
2026-03-24 00:58:22,ISS.0134.0042E,894132,ERROR,RECEPTION,JMS Trigger ABB_VIREMENTS_INSTANTANE.ABB_VIREMENT_INSTANTANE_PROCESS_RECEPTION.Default:subscriptionTrigger failed: com.wm.app.b2b.server.ISRuntimeException: [98.9998] Exception --> 0 com.wm.app.prt.Pr
2026-03-24 00:58:22,ISS.0134.0046E,895833,ERROR,RECEPTION,JMS Trigger ABB_VIREMENTS_INSTANTANE.ABB_VIREMENT_INSTANTANE_PROCESS_RECEPTION.Default:subscriptionTrigger has recovered the message(s).
2026-03-24 00:58:22,ISS.0134.0046E,894132,ERROR,RECEPTION,JMS Trigger ABB_VIREMENTS_INSTANTANE.ABB_VIREMENT_INSTANTANE_PROCESS_RECEPTION.Default:subscriptionTrigger has recovered the message(s).
2026-03-24 00:58:22,ISS.0134.0042E,895832,ERROR,RECEPTION,JMS Trigger ABB_VIREMENTS_INSTANTANE.ABB_VIREMENT_INSTANTANE_PROCESS_RECEPTION.Default:subscriptionTrigger failed: com.wm.app.b2b.server.ISRuntimeException: [98.9998] Exception --> 0 com.wm.app.prt.Pr
2026-03-24 00:58:22,ISS.0134.0046E,895832,ERROR,RECEPTION,JMS Trigger ABB_VIREMENTS_INSTANTANE.ABB_VIREMENT_INSTANTANE_PROCESS_RECEPTION.Default:subscriptionTrigger has recovered the message(s).
2026-03-24 00:58:23,ISS.0134.0042E,894132,ERROR,PACS_ROUTER,JMS Trigger abb.simti.jms.synchronisationQueue:PacsOutRouter_Trigger_002 failed: com.wm.lang.flow.FlowException:
2026-03-24 00:59:22,ISS.0134.0042E,894133,ERROR,RECEPTION,JMS Trigger ABB_VIREMENTS_INSTANTANE.ABB_VIREMENT_INSTANTANE_PROCESS_RECEPTION.Default:subscriptionTrigger failed: com.wm.app.b2b.server.ISRuntimeException: [98.9998] Exception --> 0 com.wm.app.prt.Pr
2026-03-24 00:59:22,ISS.0134.0046E,894133,ERROR,RECEPTION,JMS Trigger ABB_VIREMENTS_INSTANTANE.ABB_VIREMENT_INSTANTANE_PROCESS_RECEPTION.Default:subscriptionTrigger has recovered the message(s).
2026-03-24 00:59:23,ISS.0134.0042E,894133,ERROR,PACS_ROUTER,JMS Trigger abb.simti.jms.synchronisationQueue:PacsOutRouter_Trigger_002 failed: com.wm.lang.flow.FlowException:
2026-03-24 00:59:23,ISS.0134.0042E,895835,ERROR,PACS_ROUTER,JMS Trigger abb.simti.jms.synchronisationQueue:PacsOutRouter_Trigger_002 failed: com.wm.lang.flow.FlowException:
2026-03-24 01:00:22,ISS.0134.0042E,894501,ERROR,RECEPTION,JMS Trigger ABB_VIREMENTS_INSTANTANE.ABB_VIREMENT_INSTANTANE_PROCESS_RECEPTION.Default:subscriptionTrigger failed: com.wm.app.b2b.server.ISRuntimeException: [98.9998] Exception --> 0 com.wm.app.prt.Pr
